Date;Adj.Close
3/31/1993;1.13
4/01/1993;1.15
5/03/1993;1.43
6/01/1993;1.46
7/01/1993;1.41
8/02/1993;1.44
9/01/1993;1.63
10/01/1993;1.59
11/01/1993;1.32
12/01/1993;1.32
1/03/1994;1.43
2/01/1994;1.38
3/01/1994;1.45
4/04/1994;1.77
5/02/1994;1.69
6/01/1994;1.5
7/01/1994;1.72
8/01/1994;1.68
9/01/1994;1.37
10/03/1994;1.61
11/01/1994;1.59
12/01/1994;1.63
1/03/1995;1.43
2/01/1995;1.42
3/01/1995;1.43
4/03/1995;1.4
5/01/1995;1.73
6/01/1995;2.12
7/03/1995;2.22
8/01/1995;2.38
9/01/1995;2.25
10/02/1995;2.33
11/01/1995;2.51
12/01/1995;2.5
1/02/1996;1.99
2/01/1996;2.09
3/01/1996;2.77
4/01/1996;3.22
5/01/1996;3.22
6/03/1996;3.36
7/01/1996;3.09
8/01/1996;3.89
9/03/1996;3.92
10/01/1996;3.86
11/01/1996;4.12
12/02/1996;3.4
1/02/1997;4.07
2/03/1997;4
3/03/1997;3.52
4/01/1997;3.55
5/01/1997;3.74
6/02/1997;4.63
7/01/1997;4.87
8/01/1997;4.87
9/02/1997;4.97
10/01/1997;3.92
11/03/1997;4.15
12/01/1997;4.56
1/02/1998;4.35
2/02/1998;4.7
3/02/1998;5.39
4/01/1998;5.72
5/01/1998;5.71
6/01/1998;6.35
7/01/1998;4.98
8/03/1998;3.75
9/01/1998;4.3
10/01/1998;5.16
11/02/1998;5.48
12/01/1998;6.67
1/04/1999;6.19
2/01/1999;6.29
3/01/1999;6.67
4/01/1999;8.78
5/03/1999;8.77
6/01/1999;8.93
7/01/1999;5.53
8/02/1999;5.44
9/01/1999;5.89
10/01/1999;6.46
11/01/1999;6.31
12/01/1999;5.76
1/03/2000;7.61
2/01/2000;8.35
3/01/2000;10.65
4/03/2000;7.19
5/01/2000;8.08
6/01/2000;9.08
7/03/2000;8.91
8/01/2000;8.71
9/01/2000;9.52
10/02/2000;10.62
11/01/2000;10.83
12/01/2000;10.52
1/02/2001;11.87
2/01/2001;11.32
3/01/2001;10.09
4/02/2001;9.2
5/01/2001;9.28
6/01/2001;10.94
7/02/2001;8.58
8/01/2001;8.02
9/04/2001;7.1
10/01/2001;8.14
11/01/2001;8.42
12/03/2001;9.06
1/02/2002;11.3
2/04/2002;10.94
3/01/2002;11
4/01/2002;10.85
5/01/2002;11.54
6/03/2002;11.81
7/01/2002;9.33
8/01/2002;9.56
9/03/2002;9.82
10/01/2002;11.33
11/01/2002;10.34
12/02/2002;9.69
1/02/2003;10.8
2/03/2003;11.15
3/03/2003;12.25
4/01/2003;11.18
5/01/2003;11.73
6/02/2003;11.67
7/01/2003;12.99
8/01/2003;13.5
9/02/2003;13.69
10/01/2003;15.02
11/03/2003;15.3
12/01/2003;15.77
1/02/2004;17.41
2/02/2004;17.78
3/01/2004;18.01
4/01/2004;18.5
5/03/2004;19.3
6/01/2004;20.68
7/01/2004;22.34
8/02/2004;20.56
9/01/2004;21.61
10/01/2004;25.14
11/01/2004;26.75
12/01/2004;29.65
1/03/2005;25.67
2/01/2005;24.63
3/01/2005;24.56
4/01/2005;23.54
5/02/2005;26.05
6/01/2005;24.56
7/01/2005;24.98
8/01/2005;23.31
9/01/2005;23.82
10/03/2005;26.89
11/01/2005;28.95
12/01/2005;28.54
1/03/2006;30.14
2/01/2006;34.54
3/01/2006;35.78
4/03/2006;35.44
5/01/2006;33.9
6/01/2006;35.91
7/03/2006;32.55
8/01/2006;29.49
9/01/2006;32.38
10/02/2006;35.9
11/01/2006;33.56
12/01/2006;33.68
1/03/2007;33.22
2/01/2007;29.38
3/01/2007;29.82
4/02/2007;29.5
5/01/2007;27.4
6/01/2007;24.95
7/02/2007;25.37
8/01/2007;26.2
9/04/2007;24.91
10/01/2007;25.37
11/01/2007;22.24
12/03/2007;19.46
1/02/2008;17.98
2/01/2008;17.1
3/03/2008;16.64
